name,handedness,height,weight,avg,HR
Gary Roenicke,R,75,205,0.247,121
Don Lock,R,74,195,0.238,122
Billy Cowan,R,72,170,0.236,40
Billy Smith,B,74,185,0.23,17
Allan Ramirez,R,70,180,0,0
Tony Perez,R,74,175,0.279,379
Chuck Schilling,R,70,160,0.239,23
Hal McRae,R,71,180,0.29,191
Dave Roberts,R,75,215,0.239,49
Brian Allard,R,73,175,0,0
